time,reader,port,beam,epc,crc,rssi,session,target,power,field,zone,
8/11/15 10:21:15.490,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,46,S0,A,270,3,1,
8/11/15 10:21:15.500,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,48,S0,A,270,3,1,
8/11/15 10:21:15.529,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,46,S0,A,270,3,1,
8/11/15 10:21:15.539,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,43,S0,A,270,3,1,
8/11/15 10:21:15.650,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,42,S0,A,270,3,1,
8/11/15 10:21:15.651,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,47,S0,A,270,3,1,
8/11/15 10:21:15.679,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,43,S0,A,270,3,1,
8/11/15 10:21:15.690,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,45,S0,A,270,3,1,
8/11/15 10:21:16.080,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,50,S0,A,270,3,1,
8/11/15 10:21:16.090,192.168.225.67,2,3,FFFF22222222222222220065,803B,43,S0,A,270,3,1,
8/11/15 10:21:16.090,192.168.225.67,2,3,E280116060000205288FAAF6,EC2B,45,S0,A,270,3,1,
8/11/15 10:21:16.100,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,46,S0,A,270,3,1,
8/11/15 10:21:16.125,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,48,S0,A,270,3,1,
8/11/15 10:21:16.129,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,47,S0,A,270,3,1,
8/11/15 10:21:16.229,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,50,S0,A,270,3,1,
8/11/15 10:21:16.240,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,43,S0,A,270,3,1,
8/11/15 10:36:17.915,192.168.225.66,1,3,3014025512745D8D15000012,234B,48,S0,A,270,2,1,
8/11/15 10:21:16.271,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,43,S0,A,270,3,1,
8/11/15 10:21:16.290,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,43,S0,A,270,3,1,
8/11/15 10:21:16.291,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,45,S0,A,270,3,1,
8/11/15 10:21:16.669,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,50,S0,A,270,3,1,
8/11/15 10:21:16.671,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,46,S0,A,270,3,1,
8/11/15 10:21:16.710,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,45,S0,A,270,3,1,
8/11/15 10:21:16.739,192.168.225.67,2,0,ABA1ABA1ABA1ABA1ABA10001,91F5,45,S0,A,270,2,1,
8/11/15 10:21:16.810,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,45,S0,A,270,3,1,
8/11/15 10:21:16.811,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,45,S0,A,270,3,1,
8/11/15 10:36:18.485,192.168.225.66,1,3,AD94180016C4959053000024,2D7E,49,S0,A,270,2,1,
8/11/15 10:21:16.850,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,48,S0,A,270,3,1,
8/11/15 10:21:16.850,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,46,S0,A,270,3,1,
